4	11368722	11368842
4	10711662	10711782
5	19567177	19567297
5	21161559	21161679
1	22107309	22107429
4	1528140	1528261
4	1528098	1528218
4	1535432	1535553
4	1523312	1523515
1	4182093	4182336
2	8432697	8432817
2	7166818	7166938
1	24553880	24554081
1	24605477	24605597
5	20554925	20555045
2	9920102	9920222
4	11962910	11963075
1	24543911	24544034
2	10403285	10403405
4	6791351	6791471
4	6787058	6787178
2	4770500	4770620
2	11974772	11974891
1	22372429	22372549
3	5497020	5497140
1	16766235	16766459
1	16993863	16993983
4	7844562	7844682
5	10943873	10943993
4	6546719	6546839
5	12268494	12268614
2	10026960	10027080
5	17985831	17985951
5	3802883	3803004
1	12011149	12011269
1	12023523	12023643
5	7122516	7122636
2	8392407	8392658
3	19544735	19544855
4	14982272	14982392
5	6926222	6926342
1	20622512	20622632
4	13316724	13316844
4	1024027	1024147
1	18549913	18550033
2	12270291	12270411
3	15336727	15336847
5	14099967	14100087
2	10356734	10357210
1	1653489	1653609
5	9023218	9023338
3	14197066	14197185
2	3095	3214
5	11667807	11667927
5	11757092	11757212
5	16649946	16650065
3	17418770	17418889
4	4889437	4889556
3	14742726	14742846
1	16116558	16116677
4	5321205	5321324
5	14947030	14947149
2	3517333	3517452
1	22084260	22084380
1	11499484	11499817
1	21360173	21360293
1	21360109	21360229
2	19686909	19687029
3	17178439	17178559
1	23413352	23413472
1	19026865	19026988
1	11786244	11786420
2	18902573	18902693
1	1727301	1727421
5	9789592	9789712
4	18485459	18485579
5	16409754	16409876
4	5292698	5292818
4	10449281	10449401
2	16798801	16798920
1	18686809	18687012
1	17386763	17386883
5	19499043	19499163
1	12035065	12035185
2	10026929	10027049
4	7882798	7882919
3	10706818	10706938
5	3247212	3247332
5	3247328	3247448
1	7400902	7401022
3	19659331	19659452
1	13067263	13067383
1	13050675	13050853
1	22149955	22150075
1	22150102	22150294
1	29422496	29422615
1	22795649	22795769
1	26638033	26638154
2	17349498	17349618
2	9560852	9560972
2	9560816	9560936
4	8504116	8504236
4	8504095	8504215
1	7423473	7423593
1	7423535	7423655
3	5499998	5500118
2	16588027	16588150
3	16538460	16538580
1	4525266	4525387
2	8894935	8895056
3	17469896	17470017
3	18843599	18843720
5	7057160	7057281
5	23431653	23431774
5	24002189	24002310
2	5080640	5080760
3	8836309	8836429
2	14099970	14100149
2	16890416	16890536
4	7102522	7102642
5	7478522	7478642
3	16589381	16589501
2	3740888	3741007
4	11795149	11795269
5	9362584	9362705
4	18087235	18087355
4	7161880	7162000
2	2063930	2064048
5	21641239	21641358
3	22678116	22678237
3	11747749	11747869
5	3311924	3312044
5	897017	897357
3	4496776	4496896
4	12625078	12625791
2	11159724	11159844
4	1340478	1340598
4	1340532	1340652
3	22122761	22122881
4	13846970	13847091
1	11834103	11834223
1	11834044	11834167
1	11834023	11834143
1	4820356	4820544
2	10247209	10247461
4	6413009	6413345
1	29525154	29525336
1	29525214	29525334
5	2641427	2641547
1	28544421	28544854
2	10634281	10634404
1	6520945	6521123
1	28585	28705
1	25279088	25279208
2	771335	771563
4	7885246	7885463
4	2184275	2184490
1	22577144	22577264
3	17742097	17742217
2	9942152	9942331
4	12217407	12217527
4	12214036	12214157
1	22577376	22577732
1	2165625	2165745
5	4479398	4479519
3	16072450	16072570
4	7845706	7845827
3	19659527	19659716
4	8336252	8336372
3	8346366	8346487
5	11847671	11847791
5	11324518	11324638
5	11838048	11838168
5	11690009	11690129
5	11942419	11942539
2	4674383	4674504
1	11957437	11957558
4	7878148	7878268
1	26773645	26773765
1	26772857	26772977
1	22149685	22149805
5	9098826	9098946
3	17838104	17838293
2	10718056	10718240
4	7846594	7846905
1	6740453	6740640
5	5169948	5170167
5	16157788	16157981
4	11375337	11375457
3	6488237	6488469
5	15891575	15891695
5	15891564	15891684
5	21395495	21395674
